,Ten tap chi,issn,online issn,print issn,linking issn,impact_factor
1613,European Journal of Operational Research,, 1872-6860, 0377-2217,,6.4
1614,European Journal of Organic Chemistry, 1434-193X,,,,
1615,European Journal of Paediatric Neurology,, 1532-2130, 1090-3798,,3.1
1616,European Journal of Pain, 1090-3801,,,,
1617,European Journal of Pain Supplements, 1754-3207,,,,
1618,European Journal of Pharmaceutical Sciences,, 1879-0720, 0928-0987,,4.6
1619,European Journal of Pharmaceutics and Biopharmaceutics,, 1873-3441, 0939-6411,,4.9
1620,European Journal of Pharmacology,, 1879-0712, 0014-2999,,5
1621,European Journal of Pharmacology: Environmental Toxicology and Pharmacology, 0926-6917,,,,
1622,European Journal of Pharmacology: Molecular Pharmacology, 0922-4106,,,,
1623,European Journal of Political Economy,, 1873-5703, 0176-2680,,2
1624,European Journal of Protistology,, 1618-0429, 0932-4739,,2.9
1625,The European Journal of Psychiatry,, 2340-4469, 0213-6163,,1.8
1626,The European Journal of Psychology Applied to Legal Context, 1889-1861,,,,
1627,European Journal of Purchasing & Supply Management, 0969-7012,,,,
1628,European Journal of Radiography, 1756-1175,,,,
1629,European Journal of Radiology,, 1872-7727, 0720-048X,,3.3
1630,European Journal of Radiology Extra, 1571-4675,,,,
1631,European Journal of Radiology Open,, 2352-0477,,,2
1632,European Journal of Soil Biology,, 1778-3615, 1164-5563,,4.2
1633,European Journal of Solid State and Inorganic Chemistry, 0992-4361,,,,
1634,European Journal of Surgical Oncology,, 1532-2157, 0748-7983,,3.8
1635,European Journal of Trauma & Dissociation,, 2468-7499,,,2.1
1636,European Journal of Ultrasound, 0929-8266,,,,
1637,European Journal of Vascular and Endovascular Surgery,, 1532-2165, 1078-5884,,5.7
1638,European Journal of Vascular Surgery, 0950-821X,,,,
1639,European Management Journal,, 1873-5681, 0263-2373,,7.5
1640,European Neuropsychopharmacology,, 1873-7862, 0924-977X,,5.6
1641,European Polymer Journal,, 1873-1945, 0014-3057,,6
1642,European Psychiatry, 0924-9338,,,,
1643,European Research on Management and Business Economics,, 2444-8842, 2444-8834,,5.8
1644,European Research in Telemedicine / La Recherche Européenne en Télémédecine, 2212-764X,,,,
1645,European Review of Applied Psychology,, 1878-3457, 1162-9088,,1
1646,European Urology,, 1873-7560, 0302-2838,,23.4
1647,European Urology Focus,, 2405-4569,,,5.4
1648,European Urology Oncology,, 2588-9311,,,8.2
1649,European Urology Open Science,, 2666-1683, 2666-1691,,2.5
1650,European Urology Supplements, 1569-9056,,,,
1651,Evaluation in Education, 0191-765X,,,,
1652,Evaluation in Education. International Progress, 0145-9228,,,,
1653,Evaluation Practice, 0886-1633,,,,
1654,Evaluation and Program Planning,, 1873-7870, 0149-7189,,1.6
1655,Evidence-based Cardiovascular Medicine, 1361-2611,,,,
1656,Evidence-based Healthcare, 1462-9410,,,,
1657,Evidence-based Healthcare and Public Health, 1744-2249,,,,
1658,Evidence-based Obstetrics & Gynecology, 1361-259X,,,,
1659,Evidence-based Oncology, 1363-4054,,,,
1660,Evolution and Human Behavior,, 1879-0607, 1090-5138,,5.1
1661,L'Évolution Psychiatrique,, 1769-6674, 0014-3855,,0.6
1662,Evolving Earth, 2950-1172,,,,
1663,Examples and Counterexamples,, 2666-657X,,,
1664,"Exergy, An International Journal", 1164-0235,,,,
1665,Experimental Cell Research,, 1090-2422, 0014-4827,,3.7
1666,Experimental Eye Research,, 1096-0007, 0014-4835,,3.4
1667,Experimental Gerontology,, 1873-6815,, 0531-5565,3.9
1668,Experimental Hematology,, 1873-2399, 0301-472X,,2.6
1669,Experimental and Molecular Pathology,, 1096-0945,, 0014-4800,3.6
1670,Experimental Mycology, 0147-5975,,,,
1671,Experimental Neurology,, 1090-2430, 0014-4886,,5.3
1672,Experimental Parasitology,, 1090-2449, 0014-4894,,2.1
1673,Experimental Pathology, 0232-1513,,,,
1674,Experimental Thermal and Fluid Science,, 1879-2286, 0894-1777,,3.2
1675,Experimental and Toxicologic Pathology, 0940-2993,,,,
1676,Experimentelle Pathologie, 0014-4908,,,,
1677,Expert Systems with Applications,, 1873-6793, 0957-4174,,8.5
1678,Expert Systems with Applications: X, 2590-1885,,,,
1679,Explorations in Economic History,, 1090-2457, 0014-4983,,2.3
1680,Exploratory Research in Clinical and Social Pharmacy,, 2667-2766,,,3.9
1681,EXPLORE,, 1878-7541, 1550-8307,,2.4
1682,Expositiones Mathematicae,, 1878-0792, 0723-0869,,0.7
1683,Extracellular Vesicle, 2773-0417,,,,
1684,The Extractive Industries and Society,, 2214-7918, 2214-790X,,3.1
1685,Extreme Mechanics Letters,, 2352-4316,,,4.7
1686,Facial Plastic Surgery Clinics of North America,, 1558-1926, 1064-7406,,1.3
1687,Farmacéuticos de Atención Primaria, 2172-3761,,,,
1688,Farmacia Hospitalaria, 1130-6343,,,,1.4
1689,Farmacia Hospitalaria (English Edition), 2173-5085,,,,
1690,Il Farmaco, 0014-827X,,,,
1691,Farming System, 2949-9119,,,,
1692,FEBS Letters, 0014-5793,,,,
1693,FEBS Open Bio, 2211-5463,,,,
1694,FEMS Immunology and Medical Microbiology, 0928-8244,,,,
1695,FEMS Microbiology Ecology, 0168-6496,,,,
1696,FEMS Microbiology Letters, 0378-1097,,,,
1697,FEMS Microbiology Reviews, 0168-6445,,,,
1698,FEMS Yeast Research, 1567-1356,,,,
1699,Fertility and Sterility,, 1556-5653, 0015-0282,,6.7
1700,Feuillets de Radiologie, 0181-9801,,,,
1701,Fibre Science and Technology, 0015-0568,,,,
1702,Fibrinolysis, 0268-9499,,,,
1703,Fibrinolysis and Proteolysis, 1369-0191,,,,
1704,Field Crops Research,, 1872-6852, 0378-4290,,5.8
1705,Field Mycology, 1468-1641,,,,
1706,Filtration Industry Analyst, 1365-6937,,,,
1707,Filtration + Separation, 0015-1882,,,,
1708,Finance Research Letters,, 1544-6131, 1544-6123,,10.4
1709,Financial Services Review, 1057-0810,,,,
1710,Finite Elements in Analysis and Design,, 1872-6925, 0168-874X,,3.1
1711,Finite Fields and Their Applications,, 1090-2465, 1071-5797,,1
1712,Fire Safety Journal,, 1873-7226, 0379-7112,,3.1
1713,FirePhysChem,, 2667-1344,,,
1714,First Nations Health and Wellbeing - The Lowitja Journal, 2949-8406,,,,
1715,Fish & Shellfish Immunology,, 1095-9947, 1050-4648,,4.7
1716,Fish and Shellfish Immunology Reports, 2667-0119,,,,4.7
1717,Fisheries Research,, 1872-6763,, 0165-7836,2.4
1718,Fisioterapia,, 1578-2107, 0211-5638,,
1719,Fitoterapia,, 1873-6971, 0367-326X,,3.4
1720,FlatChem,, 2452-2627,,,6.2
1721,Flora,, 1618-0585, 0367-2530,,1.9
1722,Flora oder Allgemeine Botanische Zeitung, 0367-1615,,,,
1723,"Flora oder Allgemeine botanische Zeitung. Abt. A, Physiologie und Biochemie", 0367-1836,,,,
1724,"Flora oder Allgemeine botanische Zeitung. Abt. B, Morphologie und Geobotanik", 0367-1801,,,,
1725,Flow Measurement and Instrumentation,, 1873-6998, 0955-5986,,2.2
1726,Fluid Dynamics Research, 0169-5983,,,,
1727,Fluid Phase Equilibria,, 1879-0224, 0378-3812,,2.6
1728,FMC - Formación Médica Continuada en Atención Primaria,, 2773-0700, 1134-2072,,
1729,Focus on Catalysts,, 1873-7013, 1351-4180,,
1730,Focus on Pigments,, 1873-7021, 0969-6210,,
1731,Focus on Polyvinyl Chloride, 1468-5736,,,,
1732,Focus on Powder Coatings,, 1873-7048, 1364-5439,,
1733,Focus on Surfactants,, 1873-7773, 1351-4210,,
1734,Folding and Design, 1359-0278,,,,
1735,Food and Bioproducts Processing,, 1744-3571, 0960-3085,,4.6
1736,Food Bioscience,, 2212-4306, 2212-4292,,5.2
1737,Food and Chemical Toxicology,, 1873-6351, 0278-6915,,4.3
1738,Food Chemistry,, 1873-7072, 0308-8146,,8.8
1739,Food Chemistry Advances, 2772-753X,,,,8.8
1740,Food Chemistry: Molecular Sciences,, 2666-5662,,,3.3
1741,Food Chemistry: X,, 2590-1575,,,6.1
1742,Food Control,, 1873-7129, 0956-7135,,6
1743,Food and Cosmetics Toxicology, 0015-6264,,,,
1744,Food and Humanity, 2949-8244,,,,
1745,Food Hydrocolloids,, 1873-7137, 0268-005X,,10.7
1746,Food Hydrocolloids for Health,, 2667-0259,,,1.9
1747,Food Microbiology,, 1095-9998, 0740-0020,,5.3
1748,Food Packaging and Shelf Life,, 2214-2894,,,8
1749,Food Physics, 2950-0699,,,,
1750,Food Policy,, 1873-5657, 0306-9192,,6.5
1751,Food Quality and Preference,, 1873-6343, 0950-3293,,5.3
1752,Food Research International,, 1873-7145, 0963-9969,,8.1
1753,Food Science and Human Wellness,, 2213-4530,,,7
1754,Food Structure,, 2213-3291,,,4.7
1755,Food and Waterborne Parasitology,, 2405-6766,,,2.5
1756,Food Webs,, 2352-2496,,,1.7
1757,The Foot,, 1532-2963, 0958-2592,,
1758,Foot and Ankle Clinics,, 1558-1934, 1083-7515,,1.5
1759,Foot and Ankle Surgery,, 1460-9584, 1268-7731,,2.5
1760,"Foot & Ankle Surgery: Techniques, Reports & Cases",, 2667-3967,,,1.3
1761,Fooyin Journal of Health Sciences, 1877-8607,,,,
1762,Forces in Mechanics,, 2666-3597,,,
1763,Forensic Chemistry,, 2468-1709,,,2.7
1764,Forensic Imaging,, 2666-2256, 2666-2264,,1.1
1765,Forensic Science, 0300-9432,,,,
1766,Forensic Science International,, 1872-6283, 0379-0738,,2.2
1767,Forensic Science International: Animals and Environments,, 2666-9374,,,2.2
1768,Forensic Science International: Digital Investigation,, 2666-2817, 2666-2825,,2
1769,Forensic Science International: Genetics,, 1878-0326, 1872-4973,,3.1
1770,Forensic Science International: Genetics Supplement Series,, 1875-175X, 1875-1768,,2.2
1771,Forensic Science International: Mind and Law,, 2666-3538,,,2.2
1772,Forensic Science International: Reports,, 2665-9107,,,2.2
1773,Forensic Science International Supplement Series, 1875-1741,,,,
1774,Forensic Science International: Synergy,, 2589-871X,,,2.2
1775,Forest Ecology and Management,, 1872-7042, 0378-1127,,3.7
1776,Forest Ecosystems, 2197-5620,,,,4.1
1777,Forest Policy and Economics,, 1872-7050, 1389-9341,,4
1778,Formosan Journal of Musculoskeletal Disorders, 2210-7940,,,,
1779,Formosan Journal of Surgery, 1682-606X,,,,
1780,The Foundation Years, 1744-1889,,,,
1781,Franklin Open, 2773-1863,,,,4.1
1782,Free Radical Biology and Medicine,, 1873-4596, 0891-5849,,7.4
1783,Free Radicals and Antioxidants, 2231-2536,,,,
1784,French Journal of Psychiatry, 2590-2415,,,,
1785,Frontiers of Architectural Research,, 2095-2643, 2095-2635,,3.5
1786,Frontiers in Laboratory Medicine, 2542-3649,,,,
1787,Frontiers in Neuroendocrinology,, 1095-6808, 0091-3022,,7.4
1788,F&S Reports,, 2666-3341,,,6.7
1789,F&S Reviews, 2666-5719,,,,6.7
1790,F&S Science,, 2666-335X,,,6.7
1791,Fuel,, 1873-7153, 0016-2361,,7.4
1792,Fuel Cells Bulletin, 1464-2859,,,,
1793,Fuel Communications,, 2666-0520,,,7.4
1794,Fuel and Energy Abstracts,, 1873-7161, 0140-6701,,
1795,Fuel Processing Technology,, 1873-7188, 0378-3820,,7.5
1796,Fundamental and Applied Toxicology, 0272-0590,,,,
1797,Fundamental Plasma Physics, 2772-8285,,,,
1798,Fundamental Research,, 2667-3258,,,6.2
1799,Fungal Biology,, 1878-6162, 1878-6146,,2.5
1800,Fungal Biology Reviews,, 1878-0253, 1749-4613,,6
1801,Fungal Ecology,, 1878-0083, 1754-5048,,2.9
1802,Fungal Genetics and Biology,, 1096-0937, 1087-1845,,3
1803,Fungal Interactions, 2773-2150,,,,
1804,Fusion Engineering and Design,, 1873-7196, 0920-3796,,1.7
1805,Fuß & Sprunggelenk,, 1619-9995, 1619-9987,,
1806,Future Batteries, 2950-2640,,,,9.4
1807,Future Business Journal, 2314-7210,,,,
1808,Future Computing and Informatics Journal, 2314-7288,,,,
1809,Future Dental Journal, 2314-7180,,,,
1810,Future Foods,, 2666-8335,,,
1811,Future Generation Computer Systems,, 1872-7115, 0167-739X,,7.5
1812,Future Journal of Pharmaceutical Sciences, 2314-7245,,,,
1813,Futures,, 1873-6378, 0016-3287,,3
1814,Fuzzy Information and Engineering, 1616-8658,,,,
1815,Fuzzy Sets and Systems,, 1872-6801, 0165-0114,,3.9
1816,Gaceta Médica de Bilbao, 0304-4858,,,,
1817,Gaceta Mexicana de Oncología, 1665-9201,,,,
1818,Gaceta Sanitaria,, 1578-1283, 0213-9111,,1.9
1819,Gait & Posture,, 1879-2219, 0966-6362,,2.4
1820,Games and Economic Behavior,, 1090-2473, 0899-8256,,1.1
1821,Gas Science and Engineering,, 2949-9089, 2949-9097,,
1822,Gas Separation & Purification, 0950-4214,,,,
1823,Gastro Hep Advances, 2772-5723,,,,
1824,Gastroenterología y Hepatología,, 1578-9519, 0210-5705,,1.9
1825,Gastroenterología y Hepatología Continuada, 1578-1550,,,,
1826,Gastroenterología y Hepatología (English Edition),, 2444-3824,,,
1827,Gastroentérologie Clinique et Biologique, 0399-8320,,,,
1828,Gastroenterology,, 1528-0012, 0016-5085,,29.4
1829,Gastroenterology Clinics of North America,, 1558-1942, 0889-8553,,3.7
1830,Gastroenterology & Endoscopy, 2949-7523,,,,
1831,Gastrointestinal Endoscopy,, 1097-6779, 0016-5107,,7.7
1832,Gastrointestinal Endoscopy Clinics of North America,, 1558-1950, 1052-5157,,
1833,Gastrointestinal Intervention, 2213-1795,,,,
1834,GE Jornal Português de Gastrenterologia, 0872-8178,,,,
1835,GE Portuguese Journal of Gastroenterology, 2341-4545,,,,
1836,Gender Medicine, 1550-8579,,,,
1837,Gene,, 1879-0038, 0378-1119,,3.5
1838,Gene Analysis Techniques, 0735-0651,,,,
1839,Gene Expression Patterns,, 1872-7298, 1567-133X,,1.2
1840,Gene and Genome Editing,, 2666-3880,,,
1841,Gene Reports,, 2452-0144,,,1.3
1842,General and Comparative Endocrinology,, 1095-6840, 0016-6480,,2.7
1843,General Hospital Psychiatry,, 1873-7714, 0163-8343,,7
1844,General Pharmacology: The Vascular System, 0306-3623,,,,
1845,General Topology and its Applications, 0016-660X,,,,
1846,Genes & Diseases,, 2352-3042, 2352-4820,,6.8
1847,Genetic Analysis: Biomolecular Engineering, 1050-3862,,,,
1848,Genetics in Medicine, 1098-3600,,,,8.8
1849,Genetics in Medicine Open, 2949-7744,,,,8.8
1850,"Genomic Medicine, Biomarkers, and Health Sciences", 2211-4254,,,,
1851,Genomics,, 1089-8646, 0888-7543,,4.4
1852,Genomics Data, 2213-5960,,,,
1853,"Genomics, Proteomics & Bioinformatics",, 2210-3244, 1672-0229,,9.5
1854,Geobios,, 1777-5728, 0016-6995,,1.6
1855,Geochemistry,, 1611-5864, 0009-2819,,3.7
1856,Geochimica et Cosmochimica Acta,, 1872-9533, 0016-7037,,5
1857,Geoderma,, 1872-6259,, 0016-7061,6.1
1858,Geoderma Regional,, 2352-0094,,,4.1
1859,Geodesy and Geodynamics,, 2589-0573, 1674-9847,,2.4
1860,Geodinamica Acta, 0985-3111,,,,
1861,Geoenergy Science and Engineering,, 2949-8910, 2949-8929,,
1862,Geoexploration, 0016-7142,,,,
1863,Geofísica Internacional, 0016-7169,,,,
1864,Geoforum,, 1872-9398, 0016-7185,,3.5
1865,Géographie Économie Société, 1295-926X,,,,
1866,Geography and Natural Resources, 1875-3728,,,,
1867,Geography and Sustainability,, 2666-6839,,,9.7
1868,Geohazard Mechanics, 2949-7418,,,,
1869,Geomechanics for Energy and the Environment,, 2352-3808,,,5.1
1870,Geomorphology,, 1872-695X, 0169-555X,,3.9
1871,GeoResJ, 2214-2428,,,,
1872,Geoscience Frontiers,, 2588-9192, 1674-9871,,8.9
1873,Geosystems and Geoenvironment, 2772-8838,,,,
1874,Geotextiles and Geomembranes,, 1879-3584, 0266-1144,,5.2
1875,Geothermics,, 1879-3576, 0375-6505,,3.9
1876,Geriatric Mental Health Care, 2212-9693,,,,
1877,Geriatric Nursing,, 1528-3984, 0197-4572,,2.7
1878,Giant,, 2666-5425,,,7
1879,Giornale Italiano di Endodonzia, 1121-4171,,,,
1880,Global Ecology and Conservation,, 2351-9894,,,4
1881,Global Economics and Management Review, 2340-1540,,,,
1882,Global Energy Interconnection,, 2590-0358,, 2096-5117,
1883,Global Environmental Change,, 1872-9495, 0959-3780,,8.9
1884,Global Environmental Change Advances, 2950-1385,,,,8.9
1885,Global Environmental Change Part B: Environmental Hazards, 1464-2867,,,,
1886,Global Epidemiology,, 2590-1133,,,
1887,Global Finance Journal,, 1873-5665, 1044-0283,,5.2
1888,Global Food Security,, 2211-9124,,,8.9
1889,Global Health Journal,, 2414-6447,,,
1890,Global Heart, 2211-8160,,,,
1891,Global Pediatrics,, 2667-0097,,,
1892,Global and Planetary Change,, 1872-6364, 0921-8181,,3.9
1893,Global Transitions,, 2589-7918,,,
1894,Global Transitions Proceedings, 2666-285X,,,,
1895,Gondwana Research,, 1878-0571, 1342-937X,,6.1
1896,Government Information Quarterly,, 1872-9517, 0740-624X,,7.8
1897,Government Publications Review, 0277-9390,,,,
1898,Government Publications Review. Part A, 0196-335X,,,,
1899,Government Publications Review. Part B, 0196-3368,,,,
1900,Government Publications Review (1973), 0093-061X,,,,
1901,Grain & Oil Science and Technology,, 2590-2598,,,
1902,Graphical Models,, 1524-0711, 1524-0703,,1.7
1903,Graphical Models and Image Processing, 1077-3169,,,,
1904,Graphics and Visual Computing, 2666-6294,,,,
1905,Green Analytical Chemistry, 2772-5774,,,,
1906,Green Carbon, 2950-1555,,,,
1907,Green Chemical Engineering,, 2666-9528,,,
1908,Green Chemistry, 1463-9262,,,,
1909,Green Energy & Environment,, 2468-0257, 2096-2797,,13.3
1910,Green Energy and Intelligent Transportation, 2773-1537,,,,
1911,Green Energy and Resources, 2949-7205,,,,
1912,Green Synthesis and Catalysis,, 2666-5549,,,
1913,Green Technologies and Sustainability, 2949-7361,,,,
1914,Groundwater for Sustainable Development,, 2352-801X,,,5.9
1915,Growth Hormone & IGF Research,, 1532-2238, 1096-6374,,1.4
1916,Gynecologic Oncology,, 1095-6859, 0090-8258,,4.7
1917,Gynecologic Oncology Case Reports, 2211-338X,,,,
1918,Gynecologic Oncology Reports,, 2352-5789,,,1.2
1919,Gynécologie Obstétrique & Fertilité, 1297-9589,,,,
1920,Gynécologie Obstétrique Fertilité & Sénologie,, 2468-7189, 2468-7197,,0.8
1921,Gynecology and Minimally Invasive Therapy, 2213-3070,,,,
1922,Gynecology and Obstetrics Clinical Medicine, 2667-1646,,,,
1923,Habitat International,, 1873-5428, 0197-3975,,6.8
1924,The Hand, 0072-968X,,,,
1925,Hand Clinics,, 1558-1969, 0749-0712,,1.1
1926,Hand Surgery and Rehabilitation,, 2468-1210, 2468-1229,,1.1
1927,HardwareX,, 2468-0672,,,2.2
1928,Harmful Algae,, 1878-1470, 1568-9883,,6.6
1929,HAYATI Journal of Biosciences, 1978-3019,,,,
1930,HBRC Journal, 1687-4048,,,,
1931,Health Care Transitions, 2949-9232,,,,
1932,Health Outcomes Research in Medicine, 1877-1319,,,,
1933,Health & Place,, 1873-2054, 1353-8292,,4.8
1934,Health Policy,, 1872-6054, 0168-8510,,3.3
1935,Health Policy and Education, 0165-2281,,,,
1936,Health Policy OPEN,, 2590-2296,,,3.3
1937,Health Policy and Technology,, 2211-8845, 2211-8837,,6
1938,Health Professions Education, 2452-3011,,,,
1939,Health SA Gesondheid, 1025-9848,,,,
1940,Health Sciences Review, 2772-6320,,,,
1941,Healthcare,, 2213-0772, 2213-0764,,2.5
1942,Healthcare Analytics, 2772-4425,,,,
1943,Healthcare Infection, 1835-5617,,,,
1944,Healthcare Management Forum, 0840-4704,,,,
1945,Hearing Research,, 1878-5891, 0378-5955,,2.8
1946,Heart Failure Clinics,, 2374-9334, 1551-7136,,3.4
1947,Heart & Lung,, 1527-3288, 0147-9563,,2.8
1948,"Heart, Lung and Circulation",, 1444-2892, 1443-9506,,2.6
1949,Heart Rhythm,, 1556-3871, 1547-5271,,5.5
1950,Heart Rhythm O2, 2666-5018,,,,1.9
1951,HeartRhythm Case Reports,, 2214-0271,,,5.5
1952,Heat Recovery Systems and CHP, 0890-4332,,,,
1953,Heliyon,, 2405-8440,,,4
1954,Hellenic Journal of Cardiology,, 2241-5955, 1109-9666,,4.1
1955,Hematology/Oncology Clinics of North America,, 1558-1977, 0889-8588,,2.4
1956,Hematology/Oncology and Stem Cell Therapy, 1658-3876,,,,
1957,"Hematology, Transfusion and Cell Therapy",, 2531-1387, 2531-1379,,2.1
1958,Hepatobiliary & Pancreatic Diseases International,, 2352-9377, 1499-3872,,3.3
1959,Hepatology, 0270-9139,,,,
1960,Hepatology Research, 1386-6346,,,,
1961,High Energy Density Physics,, 1878-0563, 1574-1818,,1.6
1962,High-Confidence Computing, 2667-2952,,,,
1963,Higher Education Policy, 0952-8733,,,,
1964,High-speed Railway, 2949-8678,,,,
1965,Hipertensión, 0212-8241,,,,
1966,Hipertensión y Riesgo Vascular,, 1989-4805, 1889-1837,,0.6
1967,Historia Mathematica,, 1090-249X, 0315-0860,,0.5
1968,History of European Ideas, 0191-6599,,,,
1969,The History of the Family, 1081-602X,,,,
1970,HIV & AIDS Review, 1730-1270,,,,
1971,hLife, 2949-9283,,,,
1972,Home Care Provider, 1084-628X,,,,
1973,Homeopathy, 1475-4916,,,,
1974,HOMO, 0018-442X,,,,
1975,Hong Kong Journal of Nephrology, 1561-5413,,,,
1976,Hong Kong Journal of Occupational Therapy, 1569-1861,,,,
1977,Hong Kong Physiotherapy Journal, 1013-7025,,,,
1978,Hormigón y Acero, 0439-5689,,,,
1979,Hormones and Behavior,, 1095-6867, 0018-506X,,3.5
